"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN55655_c0_g1_i1",103.194710501385,-6.70018266829708,0.41276575009726,-16.2324094640079,2.97546687768753e-59,2.25927200022814e-55
"TRINITY_DN73927_c0_g1_i1",121.864692825319,-6.84524865782272,0.42656014355036,-16.0475580321408,5.94578054354577e-58,2.25731558335715e-54
"TRINITY_DN18645_c0_g1_i2",68.892380246255,-6.13249291398918,0.392504312775989,-15.6240140920162,4.99589265336838e-55,1.26446043056754e-51
"TRINITY_DN33538_c0_g1_i3",50.952665545524,-6.7039492823002,0.431458880143337,-15.537863724286,1.92287068273468e-54,3.6500892735011e-51
"TRINITY_DN15909_c0_g1_i10",46.6303637455828,-5.88942734130183,0.391434460845895,-15.0457558810093,3.68104884901969e-51,5.5900407821213e-48
"TRINITY_DN38483_c0_g1_i10",57.1985969198309,-6.0901957314933,0.428658959504446,-14.2075549722183,8.22473243062882e-46,1.04083988909608e-42
"TRINITY_DN6987_c0_g2_i1",75.9739383106006,-6.14285273459918,0.441118068921903,-13.9256429681341,4.42540994690775e-44,4.80030538955294e-41
"TRINITY_DN19353_c0_g1_i3",98.1830734002772,-6.51856397149881,0.471007315900286,-13.8396236139967,1.46974142515255e-43,1.28167364145167e-40
"TRINITY_DN2882_c0_g1_i1",40.2755615167308,-5.810294509024,0.419902535293184,-13.8372456002609,1.51917065363691e-43,1.28167364145167e-40
"TRINITY_DN34869_c0_g1_i2",57.0697501395727,-6.00306904979986,0.435425640047714,-13.7866687160224,3.06594157170936e-43,2.32796943539891e-40
"TRINITY_DN4348_c0_g1_i3",63.1541390400949,-6.43335292140287,0.468693559545296,-13.7261389459761,7.08076169562586e-43,4.88765668680792e-40
"TRINITY_DN8571_c0_g1_i10",119.035272938742,-6.49795136763502,0.476750701510904,-13.6296629392299,2.66809742107949e-42,1.68823864318805e-39
"TRINITY_DN180581_c0_g1_i1",93.5961949550373,-6.37277475692644,0.490199254534,-13.0003762714503,1.21742811721785e-38,7.11071668771935e-36
"TRINITY_DN10817_c0_g1_i4",53.3749603063095,-5.92417293717941,0.457783839626468,-12.9409831111847,2.64226458206311e-38,1.43305106940037e-35
"TRINITY_DN17307_c0_g1_i3",191.331672343453,-7.29211549285967,0.56763539284758,-12.8464778354963,9.00163156759123e-38,4.55662589951468e-35
"TRINITY_DN1327_c0_g1_i1",39.2659718162641,-5.37363006519532,0.418926303316115,-12.8271488867111,1.1553818098118e-37,5.48300880118812e-35
"TRINITY_DN78823_c0_g1_i1",64.0683754361431,-6.66088239453664,0.520040684851597,-12.8083870907859,1.47161677357383e-37,6.57293303632122e-35
"TRINITY_DN10023_c0_g1_i2",178.035870678197,-7.05677023552985,0.554934104552578,-12.7164111515897,4.79376547783497e-37,1.91574006701057e-34
"TRINITY_DN55416_c0_g1_i2",54.9503298244377,-6.24464770318399,0.490909079837303,-12.7205789415294,4.54480324271121e-37,1.91574006701057e-34
"TRINITY_DN75978_c0_g1_i1",63.2067855587953,-6.23191182222078,0.492116423092137,-12.6634908525579,9.42148029257701e-37,3.57686499307686e-34
"TRINITY_DN10190_c0_g1_i1",39.6483127299996,-5.30965596542217,0.419630786615113,-12.6531611473307,1.07462317132885e-36,3.88553035233333e-34
"TRINITY_DN55709_c0_g1_i1",70.755578382141,-6.31803161853803,0.50093063875748,-12.6125877111638,1.79984739158255e-36,6.21192783831196e-34
"TRINITY_DN9083_c0_g1_i1",46.0498798648863,-5.24676363471521,0.417649354162223,-12.5626044489878,3.38987559655005e-36,1.11910110454802e-33
"TRINITY_DN54930_c0_g1_i1",42.7143841945391,-5.25855846994244,0.420319892654179,-12.5108484319798,6.51248869321629e-36,2.0603886103163e-33
"TRINITY_DN93737_c0_g1_i2",129.636118640923,-6.52545723349611,0.52304277425396,-12.4759533152975,1.00990235775637e-35,3.06727544097763e-33
"TRINITY_DN1212_c0_g1_i2",97.8188064287374,-6.29410252295513,0.50484028451636,-12.4675124311542,1.12276508540433e-35,3.27890588210579e-33
"TRINITY_DN87558_c0_g1_i1",43.0060707882247,-5.14306505332436,0.412769482716165,-12.4598965492343,1.23530757835409e-35,3.4739594231269e-33
"TRINITY_DN11506_c0_g1_i6",66.8021166676714,-5.81605976042298,0.467829617527263,-12.4320041795645,1.75186349568481e-35,4.75067840097671e-33
"TRINITY_DN14491_c0_g1_i5",176.357728708829,-6.73282468247877,0.54420748796539,-12.3717972122187,3.71416691542621e-35,9.72471358235558e-33
"TRINITY_DN39227_c0_g1_i3",55.2281261668137,-5.34419945704267,0.432067564703931,-12.3688975836562,3.85070115659902e-35,9.74612462735212e-33
"TRINITY_DN3992_c0_g1_i1",85.4965598507838,-5.64244049858867,0.456910240971455,-12.3491224153612,4.92456781752205e-35,1.20620140124016e-32
"TRINITY_DN2768_c0_g1_i2",65.6101214936726,-5.97283555091931,0.4873679131183,-12.2552909006743,1.5738356638861e-34,3.73441693621474e-32
"TRINITY_DN10197_c1_g1_i1",31.6116174293187,-5.03917138533005,0.411368826020525,-12.249764849898,1.68483733908436e-34,3.76263821049044e-32
"TRINITY_DN33923_c0_g1_i2",52.4409663573902,-6.28325690954977,0.512873768211874,-12.2510787234376,1.6577605943777e-34,3.76263821049044e-32
"TRINITY_DN101243_c1_g1_i2",38.0486154427351,-5.24487700416419,0.428594642826304,-12.2373834856582,1.96257888724564e-34,4.13940596968226e-32
"TRINITY_DN12253_c0_g1_i1",71.7953629703361,-5.94294717060943,0.485613985497068,-12.2380066227423,1.94757175831066e-34,4.13940596968226e-32
"TRINITY_DN24265_c0_g1_i2",39.9934844364041,-5.41950526096959,0.447257332042615,-12.1171971317246,8.5638036045095e-34,1.75743137213623e-31
"TRINITY_DN30374_c0_g1_i1",227.221164969596,-7.75845315147632,0.641054978293872,-12.1026330255245,1.02277162828009e-33,2.04365920356071e-31
"TRINITY_DN10515_c0_g1_i2",43.7218498776882,-5.21879938861197,0.431335382607212,-12.0991683016285,1.06686563926911e-33,2.07710533306933e-31
"TRINITY_DN3273_c1_g2_i1",46.3553130229272,-5.82277549556246,0.483764729399706,-12.0363787223343,2.28779719928134e-33,4.34281103353581e-31
"TRINITY_DN38070_c0_g1_i5",57.4158640658532,-5.25972054978871,0.437822805468429,-12.0133544532046,3.02327991822661e-33,5.59896693148651e-31
"TRINITY_DN11874_c0_g1_i1",86.5189210825656,-6.46280817415411,0.538818346019015,-11.9944100305858,3.80115867931839e-33,6.71213903536385e-31
"TRINITY_DN9276_c0_g1_i1",68.6556903251315,-5.72135539247751,0.476969686152041,-11.9952180580586,3.76424510304396e-33,6.71213903536385e-31
"TRINITY_DN48371_c0_g1_i3",840.95587454723,-9.32103367572281,0.778134634983937,-11.9786901349215,4.59526792886777e-33,7.92997031452114e-31
"TRINITY_DN5849_c0_g1_i1",56.0861180317965,-5.56082029647635,0.464338970582322,-11.975777715798,4.75953356676756e-33,8.0309196383258e-31
"TRINITY_DN1864_c0_g1_i10",37.2124183617953,-5.42091298816317,0.453048021055928,-11.9654269221363,5.3919544426578e-33,8.90024132241318e-31
"TRINITY_DN2048_c0_g1_i1",58.1635848500258,-6.25585564639033,0.524444710714155,-11.9285322524685,8.40422169003287e-33,1.35772883600893e-30
"TRINITY_DN8036_c0_g1_i1",30.3337269205448,-5.42696648707517,0.455851188297094,-11.9051274328109,1.11293158658927e-32,1.7605186535359e-30
"TRINITY_DN8357_c1_g1_i1",377.328941922915,-8.30686409146679,0.700207256956487,-11.8634361597069,1.83295339196667e-32,2.84032961330673e-30
"TRINITY_DN73607_c0_g1_i1",57.4905729224745,-5.95357632110214,0.504388728903701,-11.8035475020276,3.74196774636675e-32,5.68255221963254e-30
"TRINITY_DN142725_c0_g1_i1",165.522923278571,-7.21035696272604,0.612172370657359,-11.7783116460866,5.04943496515108e-32,7.5177175863514e-30
"TRINITY_DN29790_c0_g1_i8",137.126119019076,-7.0811951193372,0.602557748759645,-11.751894542745,6.9053076587605e-32,1.00830771255709e-29
"TRINITY_DN10106_c0_g1_i1",82.9619933966095,-6.24491835400115,0.531690361179511,-11.7454044872044,7.45648713287978e-32,1.06824729811238e-29
"TRINITY_DN12276_c0_g1_i10",396.004126779354,-8.59980964313289,0.734806515151882,-11.7035021679895,1.2229975199879e-31,1.71967040171631e-29
"TRINITY_DN83868_c0_g1_i2",83.1893474652611,-6.49786336412732,0.555918657803128,-11.6885146287507,1.45916237113286e-31,2.01443997891124e-29
"TRINITY_DN106497_c0_g1_i2",46.0983241468438,-5.67622654574864,0.487316011426895,-11.6479377091022,2.3507900990508e-31,3.18741950394512e-29
"TRINITY_DN12487_c0_g1_i2",262.310217964076,-7.85508137170961,0.674832776599507,-11.6400412725824,2.57890788768786e-31,3.43537677038841e-29
