sampleID,SequenceID,developmental_stage
RI22_dev_001,62,zygote
RI22_dev_002,38,zygote
RI22_dev_003,39,zygote
RI22_dev_004,63,2_cell
RI22_dev_005,40,2_cell
RI22_dev_006,41,2_cell
RI22_dev_007,42,2_cell
RI22_dev_008,64,4_cell
RI22_dev_009,43,4_cell
RI22_dev_010,65,4_cell
RI22_dev_011,44,4_cell
RI22_dev_012,45,4_cell
RI22_dev_013,66,blastula
RI22_dev_014,46,blastula
RI22_dev_015,47,blastula
RI22_dev_016,48,blastula
RI22_dev_017,49,zygote
RI22_dev_018,50,zygote
RI22_dev_019,67,2_cell
RI22_dev_020,51,planula_96h_F
RI22_dev_021,68,gastrula
RI22_dev_022,69,planula_96h_UF
RI22_dev_025,70,planula_96h_UF
RI22_dev_026,52,planula_96h_F
RI22_dev_027,71,planula_96h_UF
RI22_dev_028,72,planula_96h_F
RI22_dev_029,73,planula_96h_F
RI22_dev_030,74,planula_72h_UF
RI22_dev_031,75,planula_72h_F
RI22_dev_032,76,planula_96h_F
RI22_dev_033,77,blastula
RI22_dev_034,53,gastrula
RI22_dev_035,78,gastrula
RI22_dev_036,54,gastrula
RI22_dev_038,79,planula_48h
RI22_dev_039,55,planula_48h
RI22_dev_040,56,planula_48h
RI22_dev_041,57,planula_48h
RI22_dev_042,58,planula_48h
RI22_dev_043,80,planula_72h_F
RI22_dev_044,81,planula_72h_UF
RI22_dev_045,59,planula_72h_F
RI22_dev_046,60,planula_72h_F
RI22_dev_047,61,planula_72h_F
RI22_dev_048,82,planula_72h_UF
RI22_dev_049,83,planula_72h_UF
RI22_dev_050,84,planula_72h_UF
