"transcript","cluster","GO"
"TRINITY_DN10002_c0_g1_i1",1,"GO:0005737"
"TRINITY_DN10002_c0_g1_i1",1,"GO:0005856"
"TRINITY_DN10002_c0_g1_i1",1,"GO:0043130"
"TRINITY_DN10002_c0_g1_i1",1,"GO:0043161"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0000722"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0000724"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0000781"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0005524"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0005634"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0007049"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0016605"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0016887"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0030915"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0034184"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0051301"
"TRINITY_DN100053_c0_g1_i1",1,"GO:0090398"
"TRINITY_DN10006_c0_g1_i6",1,NA
"TRINITY_DN100083_c0_g2_i1",1,"GO:0003729"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0005634"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0005737"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0006398"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0007076"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0035613"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0051028"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0071204"
"TRINITY_DN100083_c0_g2_i1",1,"GO:0071207"
"TRINITY_DN100083_c0_g2_i1",1,"GO:1990825"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0001778"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0005543"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0005768"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0005886"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0006886"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0006887"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0016324"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0030073"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0030141"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0030658"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0031267"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0032418"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0042043"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0045921"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0046676"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0046872"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0050714"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0070382"
"TRINITY_DN1000_c0_g1_i1",1,"GO:0071985"
"TRINITY_DN1000_c0_g1_i1",1,"GO:1905684"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0005634"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0005654"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0005737"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0005783"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0006913"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0042393"
"TRINITY_DN1000_c1_g1_i2",1,"GO:0048471"
"TRINITY_DN10010_c0_g1_i1",1,"GO:0005509"
"TRINITY_DN10010_c0_g1_i1",1,"GO:0007160"
"TRINITY_DN10010_c0_g1_i1",1,"GO:0016020"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0004807"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0005829"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0006094"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0006096"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0008929"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0019242"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0019563"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0031625"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0042803"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0046166"
"TRINITY_DN10011_c0_g1_i1",1,"GO:0061621"
"TRINITY_DN10015_c0_g1_i1",1,NA
"TRINITY_DN10015_c0_g2_i2",1,NA
"TRINITY_DN100162_c0_g2_i1",1,NA
"TRINITY_DN1001_c0_g1_i2",1,"GO:0001760"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0005737"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0005829"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0006569"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0008270"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0016787"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0019748"
"TRINITY_DN1001_c0_g1_i2",1,"GO:0046874"
"TRINITY_DN1001_c0_g1_i2",1,"GO:1904985"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0001760"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0005737"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0005829"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0006569"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0008270"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0016787"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0019748"
"TRINITY_DN1001_c0_g1_i3",1,"GO:0046874"
"TRINITY_DN1001_c0_g1_i3",1,"GO:1904985"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0003730"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0005634"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0005829"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0006397"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0006412"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0006417"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0007507"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0008143"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0008266"
"TRINITY_DN10023_c0_g1_i2",1,"GO:0010494"
"TRINITY_DN10023_c0_g1_i2",1,"GO:1990904"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0003682"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0005634"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0005654"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0008270"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0010369"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0016235"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0042802"
"TRINITY_DN10029_c0_g2_i17",1,"GO:0045892"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0005332"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0005886"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0007268"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0007613"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0008306"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0009636"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0009744"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0009986"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0010035"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0010288"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0014054"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0014074"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0015185"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0015378"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0016020"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0030424"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0032229"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0032355"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0035725"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0042220"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0042734"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0042802"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0043025"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0045211"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0046872"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0050808"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0051592"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0051936"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0051939"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0098658"
"TRINITY_DN10033_c0_g1_i2",1,"GO:0098719"
