"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN55655_c0_g1_i1",103.194710501385,6.53870834886651,0.405955440839726,16.1069607426398,2.27955956213235e-58,1.73086957552709e-54
"TRINITY_DN73927_c0_g1_i1",121.864692825319,6.71886740821936,0.420528244684179,15.9772084114476,1.84212840576356e-57,6.99364049248136e-54
"TRINITY_DN18645_c0_g1_i2",68.892380246255,5.90209888249696,0.381547140618177,15.4688589015094,5.62961239436597e-54,1.42485489701403e-50
"TRINITY_DN33538_c0_g1_i3",50.952665545524,6.13587076071148,0.416949817402316,14.7160893340576,5.08212099894696e-49,9.64713618625107e-46
"TRINITY_DN15909_c0_g1_i10",46.6303637455828,5.40266908235773,0.377065555268377,14.3281957391,1.45861007871717e-46,2.2150452655399e-43
"TRINITY_DN6987_c0_g2_i1",75.9739383106006,5.97197100976043,0.432182457178371,13.8181707993198,1.98038395276314e-43,2.50617589222176e-40
"TRINITY_DN38483_c0_g1_i10",57.1985969198309,5.72133286898582,0.416846472215848,13.7252759716849,7.16557737804719e-43,7.7726041473589e-40
"TRINITY_DN4348_c0_g1_i3",63.1541390400949,6.30636701549237,0.46002489456435,13.708751613246,8.9992899344196e-43,8.541451059006e-40
"TRINITY_DN8571_c0_g1_i10",119.035272938742,6.41235074997485,0.470612481164964,13.6255433219739,2.82301448203024e-42,2.38168321800618e-39
"TRINITY_DN19353_c0_g1_i3",98.1830734002772,6.29354969080698,0.463404201918206,13.5811234873477,5.18253382395095e-42,3.93509793252596e-39
"TRINITY_DN2882_c0_g1_i1",40.2755615167308,5.44991626216358,0.401697943662428,13.5671998031025,6.26708502629775e-42,4.32599787315262e-39
"TRINITY_DN1327_c0_g1_i1",39.2659718162641,5.41761010357502,0.40389485290225,13.4134170431882,5.04592382273694e-41,3.1928082988368e-38
"TRINITY_DN9083_c0_g1_i1",46.0498798648863,5.44192776985772,0.40694439023749,13.3726570519423,8.73633858603446e-41,5.1026937602892e-38
"TRINITY_DN34869_c0_g1_i2",57.0697501395727,5.65369610072492,0.423933892896542,13.3362682141215,1.42412069837275e-40,7.72382033053161e-38
"TRINITY_DN10197_c1_g1_i1",31.6116174293187,5.28446085769764,0.398473969381457,13.2617467231313,3.85803636707537e-40,1.95293800901355e-37
"TRINITY_DN10817_c0_g1_i4",53.3749603063095,5.9017115314574,0.445512663042736,13.2470118607858,4.69528673264089e-40,2.22820701005889e-37
"TRINITY_DN180581_c0_g1_i1",93.5961949550373,6.39866511877439,0.48398254122438,13.2208593776689,6.64997889332469e-40,2.97019351394202e-37
"TRINITY_DN39227_c0_g1_i3",55.2281261668137,5.58763009396897,0.42318169673403,13.2038557836796,8.33566962514623e-40,3.51626330354085e-37
"TRINITY_DN3992_c0_g1_i1",85.4965598507838,5.92816701520421,0.450536958841612,13.1580037971719,1.53076911536658e-39,6.11743678577811e-37
"TRINITY_DN38070_c0_g1_i5",57.4158640658532,5.55116694796203,0.427940387163631,12.9718229792586,1.76775406919246e-38,6.71127832368918e-36
