"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN53973_c0_g2_i1",119.154147516209,-1.7448222927287,0.215298069119621,-8.10421709708536,5.30862403716253e-16,4.01179651171556e-12
"TRINITY_DN58706_c0_g2_i1",8.50026016205499,-4.23102807891821,0.527552871814939,-8.02010244842799,1.0565700583923e-15,4.01179651171556e-12
"TRINITY_DN6599_c0_g4_i2",10.0889308371634,-4.31030738918995,0.563253491629064,-7.65251783299826,1.9708176698286e-14,4.98879646155947e-11
"TRINITY_DN591624_c0_g1_i1",4.45452876622796,-4.41383898671627,0.590441440041978,-7.47548984096114,7.69168008888531e-14,1.46026546487488e-10
"TRINITY_DN6598_c0_g1_i1",21.6919666014355,-1.82181856777839,0.265332076460694,-6.86618290588877,6.59425165192008e-12,1.00153494089362e-08
"TRINITY_DN5304_c0_g1_i1",6.1123173710925,-2.85443119874814,0.419107613770826,-6.81073572743297,9.71008626303131e-12,1.22897325135766e-08
"TRINITY_DN10858_c0_g2_i1",406.926487954074,-2.30901174852228,0.358134256759356,-6.44733561490544,1.13833529695657e-10,1.23493117786974e-07
"TRINITY_DN173043_c0_g1_i1",8.12209365603344,-2.57722134248407,0.409297786645436,-6.29669015219145,3.04068218503772e-10,2.88636756414706e-07
"TRINITY_DN4_c0_g1_i12",54.613057279205,-1.15844675797778,0.203796205216076,-5.68433919929731,1.31319412354557e-08,1.10804401935612e-05
"TRINITY_DN20981_c0_g1_i1",23.4745055805229,-2.3568160129146,0.416904434568564,-5.65313251070012,1.5754974903189e-08,1.19643279414817e-05
"TRINITY_DN18285_c0_g1_i2",16.8054423558299,-1.4955374230479,0.268190159139987,-5.57640678481152,2.45537387074272e-08,1.6951008340382e-05
"TRINITY_DN48284_c0_g1_i1",5.59554826816593,-1.80680755715676,0.334981547929162,-5.39375248674544,6.90012515637835e-08,4.3666292031281e-05
"TRINITY_DN27459_c0_g1_i1",6.3498478738296,2.86557588583676,0.555514346684459,5.15841922524541,2.49043505208095e-07,0.000145479721426944
"TRINITY_DN6413_c0_g1_i4",17.7613579345937,-1.25410962123071,0.248586491488662,-5.0449628767857,4.53609430229331e-07,0.000246050715225824
"TRINITY_DN16918_c1_g1_i1",11.9916691693835,5.44696189585823,1.20686796736378,4.5133038933466,6.38254656639698e-06,0.00323127057501458
"TRINITY_DN30480_c0_g1_i1",10.1204569232806,5.09818418860724,1.13818932613681,4.47920576263993,7.49212866787525e-06,0.00355595156899029
"TRINITY_DN15539_c0_g1_i1",10.2373876605733,5.25786082177953,1.18292425539746,4.44479923189408,8.79739833824042e-06,0.00392984958709398
"TRINITY_DN12558_c0_g1_i1",19.4016669583028,5.55949802856429,1.25804402879868,4.41916014169482,9.90852071145233e-06,0.00400969482094292
"TRINITY_DN47490_c0_g1_i1",12.6006205321337,5.28161907656077,1.19588905431385,4.41647915206576,1.0032157176444e-05,0.00400969482094292
"TRINITY_DN7569_c0_g1_i1",9.95148831067974,5.25690252124679,1.20093791866928,4.37733078415227,1.20141569879693e-05,0.00456177540833193
"TRINITY_DN15523_c0_g1_i1",11.7822325305367,2.51314016773675,0.581056240574954,4.32512378707094,1.52446232679481e-05,0.00551274614746658
"TRINITY_DN166584_c0_g1_i1",6.53606588445262,4.41945515202869,1.0396015750133,4.25110470996753,2.12718681765369e-05,0.00734266213330098
"TRINITY_DN14474_c0_g1_i1",12.7933110997781,4.94682014162145,1.19301243869966,4.14649502482414,3.37603512137214e-05,0.0111467872659565
"TRINITY_DN14020_c0_g1_i1",7.04487266620439,4.74831934334533,1.17132744428807,4.05379329793759,5.03937478871637e-05,0.0130603136162794
"TRINITY_DN24955_c0_g1_i1",13.7525956383515,4.84502198793046,1.1970476306059,4.0474763610518,5.17728087088283e-05,0.0130603136162794
"TRINITY_DN26534_c0_g1_i1",9.55688333512208,-2.82295813703029,0.697629609422719,-4.04649988891134,5.19891493732403e-05,0.0130603136162794
"TRINITY_DN30541_c0_g2_i1",18.535570281773,4.26080099369926,1.03958563217743,4.09855702293129,4.15733823113927e-05,0.0130603136162794
"TRINITY_DN37847_c0_g1_i1",6.13722117838734,3.92281524832609,0.970778518473938,4.04089622264484,5.3247319144655e-05,0.0130603136162794
"TRINITY_DN43661_c0_g1_i2",7.98988090223444,4.70243716795062,1.15008671051338,4.08876750332289,4.33671241891242e-05,0.0130603136162794
"TRINITY_DN5806_c0_g2_i1",11.3305356105983,4.88714165251608,1.2095086303047,4.0406008936744,5.33144221891836e-05,0.0130603136162794
"TRINITY_DN706_c0_g1_i10",20.7734979875164,-1.24012307596335,0.304379949629182,-4.07426007355004,4.61608741143941e-05,0.0130603136162794
"TRINITY_DN158899_c0_g1_i2",11.1101092022664,4.96101531974482,1.23209303126805,4.02649409893911,5.66146595964552e-05,0.0134353664054838
"TRINITY_DN5058_c0_g1_i7",33.0196367429629,2.26723403609698,0.5667010233886,4.0007586761358,6.31397239022305e-05,0.0136995160946725
"TRINITY_DN55859_c0_g1_i1",6.13959466557473,4.33227874578146,1.08108749821357,4.00733405292382,6.14079794668094e-05,0.0136995160946725
"TRINITY_DN5947_c0_g1_i1",9.56150814009585,4.73798216414218,1.1817078637234,4.00943609634064,6.08639211433902e-05,0.0136995160946725
"TRINITY_DN126467_c0_g1_i1",7.18805420823855,4.04326200101451,1.01370297989722,3.98860621029689,6.64626446905566e-05,0.014019925660558
"TRINITY_DN11650_c0_g1_i1",7.84010715509403,4.69257009381871,1.18633932420743,3.95550412775342,7.63734294376582e-05,0.0152626269249888
"TRINITY_DN8822_c0_g1_i1",6.96671161269347,4.66205089225594,1.17745670857388,3.95942445977701,7.51306034025306e-05,0.0152626269249888
"TRINITY_DN14514_c0_g1_i1",8.38436341353777,4.63483866027326,1.18384575795767,3.9150697032265,9.03780941250444e-05,0.0165524588550905
"TRINITY_DN27770_c0_g1_i1",13.4011095091821,4.61785565405308,1.18044258313546,3.91196973069818,9.15463881898603e-05,0.0165524588550905
"TRINITY_DN38701_c0_g1_i1",9.08591899842508,4.73889392341241,1.2106335822471,3.91439159866717,9.06324432063699e-05,0.0165524588550905
"TRINITY_DN686100_c0_g1_i1",10.5269876374015,4.63897337137591,1.18572195650801,3.91236187026328,9.13978174507252e-05,0.0165524588550905
"TRINITY_DN1123_c0_g1_i1",10.5445948582195,4.64976084293673,1.20124212997568,3.87079401138793,0.00010848143160133,0.0179201163460319
"TRINITY_DN116948_c0_g1_i1",7.9139304916497,4.2543649433286,1.10062862932661,3.86539549305701,0.000110909332138991,0.0179201163460319
