"transcript","cluster"
"TRINITY_DN10002_c0_g1_i1",1
"TRINITY_DN100053_c0_g1_i1",1
"TRINITY_DN10006_c0_g1_i6",1
"TRINITY_DN100083_c0_g2_i1",1
"TRINITY_DN1000_c0_g1_i1",1
"TRINITY_DN1000_c1_g1_i2",1
"TRINITY_DN10010_c0_g1_i1",1
"TRINITY_DN10011_c0_g1_i1",1
"TRINITY_DN10015_c0_g1_i1",1
"TRINITY_DN10015_c0_g2_i2",1
"TRINITY_DN100162_c0_g2_i1",1
"TRINITY_DN1001_c0_g1_i2",1
"TRINITY_DN1001_c0_g1_i3",1
"TRINITY_DN10023_c0_g1_i2",1
"TRINITY_DN10029_c0_g2_i17",1
"TRINITY_DN10033_c0_g1_i2",1
"TRINITY_DN100360_c0_g1_i1",1
"TRINITY_DN1003_c0_g1_i10",1
"TRINITY_DN100480_c0_g1_i1",1
"TRINITY_DN100512_c0_g1_i2",1
"TRINITY_DN100560_c0_g1_i1",1
"TRINITY_DN100570_c0_g1_i1",1
"TRINITY_DN100579_c0_g1_i2",1
"TRINITY_DN1005_c0_g1_i4",1
"TRINITY_DN100624_c0_g1_i1",1
"TRINITY_DN100637_c0_g1_i1",1
"TRINITY_DN100652_c0_g1_i1",1
"TRINITY_DN10065_c0_g1_i2",1
"TRINITY_DN10067_c0_g2_i1",1
"TRINITY_DN100758_c0_g1_i2",1
"TRINITY_DN10076_c0_g1_i1",1
"TRINITY_DN1007_c0_g1_i10",1
"TRINITY_DN10080_c0_g1_i3",1
"TRINITY_DN10081_c0_g1_i1",1
"TRINITY_DN10084_c0_g1_i1",1
"TRINITY_DN10093_c0_g1_i3",1
"TRINITY_DN10094_c0_g1_i10",1
"TRINITY_DN10096_c0_g1_i1",1
"TRINITY_DN100984_c0_g1_i4",1
"TRINITY_DN100990_c2_g1_i2",1
"TRINITY_DN101012_c0_g1_i1",1
"TRINITY_DN101053_c0_g1_i1",1
"TRINITY_DN10106_c0_g1_i1",1
"TRINITY_DN101071_c0_g1_i1",1
"TRINITY_DN10117_c0_g1_i2",1
"TRINITY_DN101243_c1_g1_i2",1
"TRINITY_DN10125_c0_g1_i13",1
"TRINITY_DN1012_c0_g1_i1",1
"TRINITY_DN10130_c0_g1_i1",1
"TRINITY_DN101311_c0_g1_i1",1
"TRINITY_DN10135_c0_g1_i2",1
"TRINITY_DN101398_c0_g1_i1",1
"TRINITY_DN10143_c0_g1_i2",1
"TRINITY_DN10143_c1_g1_i1",1
"TRINITY_DN10150_c0_g1_i3",1
"TRINITY_DN101513_c0_g1_i1",1
"TRINITY_DN101526_c0_g1_i1",1
"TRINITY_DN10161_c0_g1_i7",1
"TRINITY_DN101687_c0_g1_i1",1
"TRINITY_DN10180_c0_g1_i6",1
"TRINITY_DN101833_c0_g1_i1",1
"TRINITY_DN10187_c0_g1_i1",1
"TRINITY_DN10188_c0_g1_i5",1
"TRINITY_DN1018_c0_g1_i1",1
"TRINITY_DN10190_c0_g1_i1",1
"TRINITY_DN101912_c0_g1_i1",1
"TRINITY_DN10191_c0_g1_i2",1
"TRINITY_DN101938_c0_g1_i1",1
"TRINITY_DN101954_c0_g1_i1",1
"TRINITY_DN10195_c0_g2_i1",1
"TRINITY_DN10197_c1_g1_i1",1
"TRINITY_DN102045_c0_g1_i1",1
"TRINITY_DN1020_c0_g1_i3",1
"TRINITY_DN10210_c0_g1_i2",1
"TRINITY_DN10216_c0_g1_i1",1
"TRINITY_DN102200_c0_g1_i1",1
"TRINITY_DN102218_c1_g1_i1",1
"TRINITY_DN102300_c0_g1_i1",1
"TRINITY_DN102333_c0_g1_i1",1
"TRINITY_DN102396_c1_g1_i2",1
"TRINITY_DN102396_c2_g1_i1",1
"TRINITY_DN10242_c0_g1_i6",1
"TRINITY_DN102468_c0_g1_i1",1
"TRINITY_DN102496_c1_g1_i1",1
"TRINITY_DN1024_c0_g1_i3",1
"TRINITY_DN102504_c0_g1_i1",1
"TRINITY_DN102515_c0_g1_i1",1
"TRINITY_DN102531_c0_g1_i1",1
"TRINITY_DN102577_c0_g1_i1",1
"TRINITY_DN1025_c0_g1_i1",1
"TRINITY_DN1026_c0_g1_i13",1
"TRINITY_DN102703_c0_g1_i1",1
"TRINITY_DN10271_c0_g1_i3",1
"TRINITY_DN10274_c0_g1_i2",1
"TRINITY_DN10275_c0_g1_i1",1
"TRINITY_DN102773_c0_g1_i1",1
"TRINITY_DN1027_c0_g1_i6",1
"TRINITY_DN1027_c0_g2_i1",1
"TRINITY_DN10284_c0_g1_i3",1
"TRINITY_DN102880_c0_g1_i2",1
"TRINITY_DN10289_c0_g1_i1",1
"TRINITY_DN1028_c0_g4_i2",1
"TRINITY_DN102990_c0_g1_i1",1
"TRINITY_DN10309_c0_g1_i1",1
"TRINITY_DN103118_c0_g1_i1",1
"TRINITY_DN103248_c0_g1_i2",1
"TRINITY_DN103269_c0_g1_i3",1
"TRINITY_DN10327_c0_g1_i6",1
"TRINITY_DN103305_c0_g1_i1",1
"TRINITY_DN10334_c0_g1_i5",1
"TRINITY_DN10336_c0_g1_i6",1
"TRINITY_DN10337_c0_g1_i1",1
"TRINITY_DN103381_c0_g1_i1",1
"TRINITY_DN10343_c0_g1_i1",1
"TRINITY_DN1034_c0_g1_i8",1
"TRINITY_DN10351_c0_g1_i2",1
"TRINITY_DN10354_c0_g1_i1",1
"TRINITY_DN103558_c1_g1_i1",1
"TRINITY_DN103594_c0_g1_i1",1
"TRINITY_DN103784_c0_g1_i1",1
"TRINITY_DN10381_c0_g1_i1",1
"TRINITY_DN10381_c0_g1_i5",1
"TRINITY_DN10394_c0_g1_i1",1
"TRINITY_DN104011_c0_g1_i10",1
"TRINITY_DN10406_c0_g1_i1",1
"TRINITY_DN1040_c0_g1_i1",1
"TRINITY_DN10410_c0_g1_i1",1
